EMP_ID,DEP_ID,DEPT_TYPE,DEP_REL_START_DATE,DEP_APP_START_DATE,DEP_APP_END_DATE,MAIN_DEP,TITLE_INFO,DEP_DURATION
E00001,DEP006,본사,2010-09-26,2014-11-06,2019-05-10,Y,Head,1646
E00001,DEP006,본사,2010-09-26,2015-06-08,2021-10-03,Y,Member,2309
E00002,DEP025,본사,2011-01-22,2013-11-12,2015-03-31,Y,Member,504
E00002,DEP010,본사,2010-11-08,2015-04-01,2016-06-30,Y,Member,456
E00002,DEP027,본사,2011-05-14,2016-07-01,,Y,Member,3507
E00003,DEP007,본사,2011-04-21,2023-10-22,2025-09-30,Y,Member,709
E00003,DEP006,본사,2010-09-26,2025-10-01,,Y,Member,128
E00004,DEP011,본사,2011-01-02,2012-11-28,2018-07-23,Y,Member,2063
E00005,DEP018,본사,2012-02-07,2017-11-20,2019-09-30,Y,Member,679
E00005,DEP015,본사,2010-11-28,2019-10-01,2021-01-12,Y,Member,469
E00006,DEP013,현장,2010-09-29,2025-10-17,,Y,Head,112
E00007,DEP009,본사,2011-02-22,2017-07-18,2021-09-30,Y,Member,1535
E00007,DEP009,본사,2011-02-22,2018-01-01,2022-01-31,Y,Head,1491
E00007,DEP008,본사,2010-07-28,2018-10-01,2019-12-31,Y,Head,456
E00008,DEP023,본사,2011-12-15,2020-12-12,2022-03-31,Y,Member,474
E00008,DEP021,본사,2010-09-12,2022-04-01,,Y,Member,1407
E00009,DEP023,본사,2011-12-15,2023-01-25,,Y,Member,1108
E00010,DEP023,본사,2011-12-15,2012-05-18,2013-11-17,Y,Head,548
E00010,DEP023,본사,2011-12-15,2013-11-18,2020-02-23,Y,Member,2288
E00011,DEP006,본사,2010-09-26,2024-09-29,2025-03-27,Y,Member,179
E00012,DEP021,본사,2010-09-12,2014-02-19,2015-12-31,Y,Member,680
E00012,DEP008,본사,2010-07-28,2016-01-01,2017-03-31,Y,Member,455
E00012,DEP022,본사,2010-08-09,2017-04-01,,Y,Member,3233
E00013,DEP021,본사,2010-09-12,2018-04-02,2019-06-30,Y,Member,454
E00013,DEP031,현장,2011-05-15,2019-07-01,,Y,Member,2412
E00014,DEP033,현장,2011-10-13,2018-02-24,2022-12-31,Y,Member,1771
E00014,DEP033,현장,2011-10-13,2020-01-01,2023-04-23,Y,Head,1208
E00015,DEP032,현장,2011-05-02,2015-07-05,2017-06-30,Y,Member,726
E00015,DEP024,본사,2011-05-07,2017-07-01,2018-09-30,Y,Member,456
E00015,DEP008,본사,2010-07-28,2018-10-01,2024-08-12,Y,Member,2142
E00016,DEP022,본사,2010-08-09,2017-07-27,2019-02-23,Y,Member,576
E00017,DEP029,본사,2010-08-12,2024-01-19,2025-08-23,Y,Head,582
E00017,DEP029,본사,2010-08-12,2025-08-24,,Y,Member,166
E00018,DEP028,본사,2011-01-13,2011-07-15,2012-12-31,Y,Member,535
E00018,DEP029,본사,2010-08-12,2013-01-01,2014-06-30,Y,Member,545
E00018,DEP012,본사,2010-04-12,2014-07-01,2014-09-17,Y,Member,78
E00019,DEP028,본사,2011-01-13,2024-04-11,2026-01-18,Y,Member,647
E00019,DEP028,본사,2011-01-13,2026-01-19,,Y,Head,18
E00020,DEP006,본사,2010-09-26,2012-09-06,2014-03-31,Y,Member,571
E00020,DEP006,본사,2010-09-26,2012-10-01,2013-03-23,Y,Head,173
E00020,DEP014,현장,2010-12-28,2014-04-01,2022-01-07,Y,Member,2838
E00021,DEP030,본사,2010-06-18,2017-03-28,2024-01-27,Y,Member,2496
E00022,DEP008,본사,2010-07-28,2013-08-21,2016-09-30,Y,Member,1136
E00022,DEP035,현장,2011-05-23,2016-10-01,2018-09-30,Y,Member,729
E00022,DEP033,현장,2011-10-13,2018-10-01,2025-03-17,Y,Member,2359
E00023,DEP020,본사,2010-10-14,2019-02-03,2020-12-31,Y,Member,697
E00023,DEP023,본사,2011-12-15,2021-01-01,2022-07-10,Y,Member,555
E00024,DEP009,본사,2011-02-22,2015-05-11,2016-09-30,Y,Member,508
E00024,DEP026,본사,2011-05-09,2016-10-01,2017-08-29,Y,Head,332
E00024,DEP026,본사,2011-05-09,2017-08-30,2017-12-31,Y,Member,123
E00024,DEP029,본사,2010-08-12,2018-01-01,2019-03-31,Y,Member,454
E00024,DEP011,본사,2011-01-02,2019-04-01,2024-11-21,Y,Member,2061
E00025,DEP010,본사,2010-11-08,2024-12-09,,Y,Member,424
E00026,DEP034,현장,2011-04-22,2012-09-07,2014-09-30,Y,Member,753
E00026,DEP033,현장,2011-10-13,2014-10-01,2025-01-18,Y,Member,3762
E00027,DEP034,현장,2011-04-22,2022-04-29,2024-02-29,Y,Member,671
E00028,DEP007,본사,2011-04-21,2023-05-23,2025-06-30,Y,Member,769
E00028,DEP011,본사,2011-01-02,2025-07-01,,Y,Member,220
E00029,DEP020,본사,2010-10-14,2022-11-27,2024-12-31,Y,Member,765
E00029,DEP024,본사,2011-05-07,2025-01-01,,Y,Member,401
E00030,DEP026,본사,2011-05-09,2017-08-23,2019-06-30,Y,Member,676
E00030,DEP029,본사,2010-08-12,2019-07-01,2020-12-31,Y,Member,549
E00030,DEP031,현장,2011-05-15,2021-01-01,2022-06-30,Y,Member,545
E00030,DEP032,현장,2011-05-02,2022-07-01,2025-09-14,Y,Member,1171
E00031,DEP022,본사,2010-08-09,2017-04-22,2025-08-25,Y,Member,3047
E00032,DEP029,본사,2010-08-12,2020-03-24,2021-06-30,Y,Member,463
E00032,DEP012,본사,2010-04-12,2021-07-01,2022-09-30,Y,Member,456
E00033,DEP015,본사,2010-11-28,2018-10-25,2020-09-30,Y,Member,706
E00033,DEP016,본사,2011-04-16,2020-10-01,2021-02-23,Y,Member,145
E00034,DEP023,본사,2011-12-15,2024-06-27,,Y,Member,589
E00035,DEP029,본사,2010-08-12,2020-01-18,2021-03-31,Y,Head,438
E00035,DEP010,본사,2010-11-08,2021-04-01,2023-03-31,Y,Head,729
E00035,DEP023,본사,2011-12-15,2023-04-01,,Y,Head,1042
E00036,DEP032,현장,2011-05-02,2021-04-06,,Y,Member,1767
E00037,DEP027,본사,2011-05-14,2022-07-01,2023-10-02,Y,Member,458
E00038,DEP033,현장,2011-10-13,2023-01-20,2024-10-05,Y,Member,624
E00039,DEP008,본사,2010-07-28,2018-02-22,2019-12-31,Y,Member,677
E00039,DEP012,본사,2010-04-12,2020-01-01,,Y,Member,2228
E00040,DEP026,본사,2011-05-09,2018-07-09,2020-06-30,Y,Member,722
E00040,DEP009,본사,2011-02-22,2020-07-01,2022-06-22,Y,Member,721
E00041,DEP021,본사,2010-09-12,2019-10-14,2021-05-08,Y,Member,572
E00042,DEP034,현장,2011-04-22,2018-08-15,2020-06-30,Y,Member,685
E00042,DEP013,현장,2010-09-29,2020-07-01,2021-12-31,Y,Member,548
E00042,DEP033,현장,2011-10-13,2022-01-01,2025-12-27,Y,Member,1456
E00043,DEP018,본사,2012-02-07,2015-04-25,2017-03-31,Y,Member,706
E00043,DEP015,본사,2010-11-28,2017-04-01,2017-05-21,Y,Member,50
E00044,DEP006,본사,2010-09-26,2022-01-17,2023-03-31,Y,Member,438
E00044,DEP008,본사,2010-07-28,2023-04-01,,Y,Member,1042
E00045,DEP011,본사,2011-01-02,2023-05-15,2024-11-09,Y,Member,544
E00046,DEP018,본사,2012-02-07,2025-07-30,,Y,Member,191
E00047,DEP017,본사,2011-05-18,2022-12-10,2024-09-30,Y,Member,660
E00047,DEP015,본사,2010-11-28,2024-10-01,,Y,Member,493
E00048,DEP012,본사,2010-04-12,2015-03-20,2016-12-31,Y,Member,652
E00048,DEP012,본사,2010-04-12,2015-10-01,2016-06-30,Y,Head,273
E00048,DEP029,본사,2010-08-12,2017-01-01,2018-12-31,Y,Member,729
E00048,DEP011,본사,2011-01-02,2019-01-01,2020-06-30,Y,Member,546
E00048,DEP013,현장,2010-09-29,2020-07-01,2021-05-18,Y,Member,321
E00049,DEP025,본사,2011-01-22,2023-07-27,2024-09-30,Y,Member,431
E00049,DEP026,본사,2011-05-09,2024-10-01,,Y,Member,493
E00050,DEP034,현장,2011-04-22,2015-09-30,2023-08-11,Y,Member,2872
E00050,DEP032,현장,2011-05-02,2017-07-01,2018-09-30,Y,Member,456
E00051,DEP015,본사,2010-11-28,2023-06-19,,Y,Member,963
E00052,DEP008,본사,2010-07-28,2022-02-24,2026-02-06,Y,Head,1443
E00052,DEP009,본사,2011-02-22,2023-07-01,2023-09-14,Y,Member,75
E00052,DEP009,본사,2011-02-22,2023-09-15,,Y,Head,473
E00053,DEP010,본사,2010-11-08,2014-07-08,2015-05-20,Y,Head,316
E00053,DEP010,본사,2010-11-08,2015-05-21,2015-12-31,Y,Member,224
E00053,DEP025,본사,2011-01-22,2016-01-01,2017-03-31,Y,Head,455
E00053,DEP027,본사,2011-05-14,2017-04-01,2019-03-31,Y,Member,729
E00053,DEP027,본사,2011-05-14,2017-10-01,2018-12-31,Y,Head,456
E00053,DEP028,본사,2011-01-13,2019-04-01,,Y,Member,2503
E00054,DEP015,본사,2010-11-28,2024-02-28,2025-06-30,Y,Member,488
E00054,DEP021,본사,2010-09-12,2025-07-01,,Y,Member,220
E00055,DEP013,현장,2010-09-29,2023-05-11,2025-03-31,Y,Member,690
E00055,DEP032,현장,2011-05-02,2025-04-01,,Y,Member,311
