EMP_ID,POSITION_ID,GRADE_ID,POSITION_START_DATE,GRADE_START_DATE,POSITION_END_DATE,GRADE_END_DATE,CHANGE_REASON,GRADE_DURATION
E00001,POS001,G2,2014-11-01,2014-11-01,2017-06-30,2017-06-30,Initial Assignment,972
E00001,POS002,G3,2017-07-01,2017-07-01,2021-09-29,2020-12-31,Early Promotion,1279
E00001,POS002,G4,2017-07-01,2021-01-01,2021-09-29,2021-09-29,Normal Promotion,271
E00002,POS001,G2,2013-11-07,2013-11-07,2018-06-30,2018-06-30,Initial Assignment,1696
E00002,POS002,G3,2018-07-01,2018-07-01,2023-12-31,2021-06-30,Normal Promotion,1095
E00002,POS002,G4,2018-07-01,2021-07-01,2023-12-31,2023-12-31,Normal Promotion,913
E00002,POS003,G5,2024-01-01,2024-01-01,,,Early Promotion,762
E00003,POS001,G1,2023-10-17,2023-10-17,,,Initial Assignment,838
E00004,POS001,G2,2012-11-23,2012-11-23,2017-06-30,2017-06-30,Initial Assignment,1680
E00004,POS002,G3,2017-07-01,2017-07-01,2018-07-18,2018-07-18,Normal Promotion,382
E00005,POS001,G1,2017-11-15,2017-11-15,2021-01-08,2021-01-08,Initial Assignment,1150
E00006,POS002,G3,2025-10-12,2025-10-12,,,Initial Assignment,112
E00007,POS003,G5,2017-07-13,2017-07-13,2022-01-27,2020-12-31,Initial Assignment,1267
E00007,POS003,G6,2017-07-13,2021-01-01,2022-01-27,2022-01-27,Normal Promotion,391
E00008,POS002,G4,2020-12-07,2020-12-07,2025-12-31,2025-12-31,Initial Assignment,1850
E00008,POS003,G5,2026-01-01,2026-01-01,,,Normal Promotion,31
E00009,POS002,G3,2023-01-20,2023-01-20,,,Initial Assignment,1108
E00010,POS001,G1,2012-05-13,2012-05-13,2020-02-19,2018-12-31,Initial Assignment,2423
E00010,POS001,G2,2012-05-13,2019-01-01,2020-02-19,2020-02-19,Late Promotion,414
E00011,POS001,G1,2024-09-24,2024-09-24,2025-03-23,2025-03-23,Initial Assignment,180
E00012,POS001,G1,2014-02-14,2014-02-14,2024-12-31,2017-12-31,Initial Assignment,1416
E00012,POS001,G2,2014-02-14,2018-01-01,2024-12-31,2024-12-31,Normal Promotion,2556
E00012,POS002,G3,2025-01-01,2025-01-01,,,Late Promotion,396
