EMP_ID,SAL_START_DATE,PAY_CATEGORY,SAL_AMOUNT,SAL_END_DATE
E00001,2014-11-01,연봉,44300000,2014-12-31
E00001,2015-01-01,연봉,44800000,2015-12-31
E00001,2016-01-01,연봉,47300000,2016-12-31
E00001,2017-01-01,연봉,51100000,2017-12-31
E00001,2018-01-01,연봉,56800000,2018-12-31
E00001,2019-01-01,연봉,62800000,2019-12-31
E00001,2020-01-01,연봉,66100000,2020-12-31
E00001,2021-01-01,연봉,69600000,2021-09-29
E00002,2013-11-07,연봉,39200000,2013-12-31
E00002,2014-01-01,연봉,39800000,2014-12-31
E00002,2015-01-01,연봉,43100000,2015-12-31
E00002,2016-01-01,연봉,46400000,2016-12-31
E00002,2017-01-01,연봉,49900000,2017-12-31
E00002,2018-01-01,연봉,52200000,2018-12-31
E00002,2019-01-01,연봉,58500000,2019-12-31
E00002,2020-01-01,연봉,61200000,2020-12-31
E00002,2021-01-01,연봉,65300000,2021-12-31
E00002,2022-01-01,연봉,71900000,2022-12-31
E00002,2023-01-01,연봉,72600000,2023-12-31
E00002,2024-01-01,연봉,75800000,2024-12-31
E00002,2025-01-01,연봉,85300000,2025-12-31
E00002,2026-01-01,연봉,89000000,
E00003,2023-10-17,연봉,37100000,2023-12-31
E00003,2024-01-01,연봉,37300000,2024-12-31
E00003,2025-01-01,연봉,39900000,2025-12-31
E00003,2026-01-01,연봉,41200000,
E00004,2012-11-23,연봉,41900000,2012-12-31
E00004,2013-01-01,연봉,42000000,2013-12-31
E00004,2014-01-01,연봉,46400000,2014-12-31
E00004,2015-01-01,연봉,48900000,2015-12-31
E00004,2016-01-01,연봉,51900000,2016-12-31
E00004,2017-01-01,연봉,52800000,2017-12-31
E00004,2018-01-01,연봉,58700000,2018-07-18
E00005,2017-11-15,연봉,43100000,2017-12-31
E00005,2018-01-01,연봉,43300000,2018-12-31
E00005,2019-01-01,연봉,46000000,2019-12-31
E00005,2020-01-01,연봉,47200000,2020-12-31
E00005,2021-01-01,연봉,50600000,2021-01-08
E00006,2025-10-12,연봉,61200000,2025-12-31
E00006,2026-01-01,연봉,61800000,
E00007,2017-07-13,연봉,64000000,2017-12-31
E00007,2018-01-01,연봉,65500000,2018-12-31
E00007,2019-01-01,연봉,68200000,2019-12-31
E00007,2020-01-01,연봉,76100000,2020-12-31
E00007,2021-01-01,연봉,76900000,2021-12-31
E00007,2022-01-01,연봉,77100000,2022-01-27
E00008,2020-12-07,연봉,63800000,2020-12-31
E00008,2021-01-01,연봉,64000000,2021-12-31
E00008,2022-01-01,연봉,65800000,2022-12-31
E00008,2023-01-01,연봉,71400000,2023-12-31
E00008,2024-01-01,연봉,73100000,2024-12-31
E00008,2025-01-01,연봉,77900000,2025-12-31
E00008,2026-01-01,연봉,78700000,
E00009,2023-01-20,연봉,38200000,2023-12-31
E00009,2024-01-01,연봉,38900000,2024-12-31
E00009,2025-01-01,연봉,41500000,2025-12-31
E00009,2026-01-01,연봉,44900000,
E00010,2012-05-13,연봉,40200000,2012-12-31
E00010,2013-01-01,연봉,41900000,2013-12-31
E00010,2014-01-01,연봉,44300000,2014-12-31
E00010,2015-01-01,연봉,46600000,2015-12-31
E00010,2016-01-01,연봉,47300000,2016-12-31
E00010,2017-01-01,연봉,49100000,2017-12-31
E00010,2018-01-01,연봉,51400000,2018-12-31
E00010,2019-01-01,연봉,56100000,2019-12-31
E00010,2020-01-01,연봉,64000000,2020-02-19
E00011,2024-09-24,연봉,49100000,2024-12-31
E00011,2025-01-01,연봉,50100000,2025-03-23
E00012,2014-02-14,연봉,39100000,2014-12-31
E00012,2015-01-01,연봉,41500000,2015-12-31
E00012,2016-01-01,연봉,41900000,2016-12-31
E00012,2017-01-01,연봉,44800000,2017-12-31
E00012,2018-01-01,연봉,47000000,2018-12-31
E00012,2019-01-01,연봉,52400000,2019-12-31
E00012,2020-01-01,연봉,54500000,2020-12-31
E00012,2021-01-01,연봉,60500000,2021-12-31
E00012,2022-01-01,연봉,66000000,2022-12-31
E00012,2023-01-01,연봉,71800000,2023-12-31
E00012,2024-01-01,연봉,74300000,2024-12-31
E00012,2025-01-01,연봉,78100000,2025-12-31
E00012,2026-01-01,연봉,86800000,
E00013,2018-03-28,연봉,47000000,2018-12-31
E00013,2019-01-01,연봉,49500000,2019-12-31
E00013,2020-01-01,연봉,53900000,2020-12-31
E00013,2021-01-01,연봉,56400000,2021-12-31
E00013,2022-01-01,연봉,59500000,2022-12-31
E00013,2023-01-01,연봉,61100000,2023-12-31
E00013,2024-01-01,연봉,68300000,2024-12-31
E00013,2025-01-01,연봉,69900000,2025-12-31
E00013,2026-01-01,연봉,75800000,
E00014,2018-02-19,연봉,32500000,2018-12-31
E00014,2019-01-01,연봉,35300000,2019-12-31
E00014,2020-01-01,연봉,37300000,2020-12-31
E00014,2021-01-01,연봉,40700000,2021-12-31
E00014,2022-01-01,연봉,43600000,2022-12-31
E00014,2023-01-01,연봉,45400000,2023-04-18
E00015,2015-06-30,연봉,37800000,2015-12-31
E00015,2016-01-01,연봉,39100000,2016-12-31
E00015,2017-01-01,연봉,43300000,2017-12-31
E00015,2018-01-01,연봉,45900000,2018-12-31
E00015,2019-01-01,연봉,50800000,2019-12-31
E00015,2020-01-01,연봉,51300000,2020-12-31
E00015,2021-01-01,연봉,56900000,2021-12-31
E00015,2022-01-01,연봉,65400000,2022-12-31
E00015,2023-01-01,연봉,65700000,2023-12-31
E00015,2024-01-01,연봉,66400000,2024-08-07
E00016,2017-07-22,연봉,45800000,2017-12-31
E00016,2018-01-01,연봉,46700000,2018-12-31
E00016,2019-01-01,연봉,47900000,2019-02-18
E00017,2024-01-14,연봉,37300000,2024-12-31
E00017,2025-01-01,연봉,39500000,2025-12-31
E00017,2026-01-01,연봉,41500000,
E00018,2011-07-10,연봉,38200000,2011-12-31
E00018,2012-01-01,연봉,39300000,2012-12-31
E00018,2013-01-01,연봉,39600000,2013-12-31
E00018,2014-01-01,연봉,39900000,2014-09-13
E00019,2024-04-06,연봉,60900000,2024-12-31
E00019,2025-01-01,연봉,61300000,2025-12-31
E00019,2026-01-01,연봉,64600000,
E00020,2012-09-01,연봉,41600000,2012-12-31
E00020,2013-01-01,연봉,42600000,2013-12-31
E00020,2014-01-01,연봉,47000000,2014-12-31
E00020,2015-01-01,연봉,49100000,2015-12-31
E00020,2016-01-01,연봉,50900000,2016-12-31
E00020,2017-01-01,연봉,53200000,2017-12-31
E00020,2018-01-01,연봉,59600000,2018-12-31
E00020,2019-01-01,연봉,64800000,2019-12-31
E00020,2020-01-01,연봉,69300000,2020-12-31
E00020,2021-01-01,연봉,71200000,2021-12-31
E00020,2022-01-01,연봉,72200000,2022-01-03
E00021,2017-03-23,연봉,37500000,2017-12-31
E00021,2018-01-01,연봉,38800000,2018-12-31
E00021,2019-01-01,연봉,41700000,2019-12-31
E00021,2020-01-01,연봉,44300000,2020-12-31
E00021,2021-01-01,연봉,48200000,2021-12-31
E00021,2022-01-01,연봉,50100000,2022-12-31
