EMP_ID,PAY_YEAR,BASIC_PAY,REGULAR_ALLOWANCE,VARIABLE_PAY,TOTAL_PAY,VARIABLE_PAY_RATIO,YOY_GROWTH
E00001,2020,66100014,6652141,10077821,82829976,12.17,0.0
E00001,2021,50137783,7105085,0,57242868,0.0,-7.01
E00002,2020,61200000,4768256,10862586,76830842,14.14,0.0
E00002,2021,65300004,4062338,27442642,96804984,28.35,26.34
E00002,2022,71900004,2409837,17033946,91343787,18.65,-5.64
E00002,2023,72600000,3555754,35467426,111623180,31.77,22.2
E00002,2024,75800004,3985254,25965958,105751216,24.55,-5.52
E00002,2025,85300008,4410115,14102375,103812498,13.58,-1.56
E00002,2026,14833334,578323,0,15411657,0.0,69.33
E00003,2023,6183334,520194,1566715,8270243,18.94,0.0
E00003,2024,37300008,3021326,15620630,55941964,27.92,40.46
E00003,2025,39900000,3515695,11534693,54950388,20.99,-1.5
E00003,2026,6866668,423410,0,7290078,0.0,51.32
E00005,2020,47200014,9455305,8132822,64788141,12.55,0.0
E00005,2021,725449,218579,0,944028,0.0,-33.34
E00006,2025,10200000,622670,3004411,13827081,21.73,0.0
E00006,2026,10300000,450517,0,10750517,0.0,96.8
E00007,2020,76100004,7713407,17022757,100836168,16.88,0.0
E00007,2021,76900014,1784131,21878034,100562179,21.76,0.0
E00007,2022,5595968,100000,0,5695968,0.0,-23.43
E00008,2021,64000008,3457065,15343678,82800751,18.53,0.0
E00008,2022,65800008,3993153,15299114,85092275,17.98,2.77
E00008,2023,71400000,6080098,31243782,108723880,28.74,27.77
E00008,2024,73100004,6648181,25201530,104949715,24.01,-3.74
E00008,2025,77900004,5924654,9929660,93754318,10.59,-10.42
E00008,2026,13116668,400000,0,13516668,0.0,64.45
E00009,2023,35016674,2731600,17559786,55308060,31.75,0.0
E00009,2024,38900004,3074733,15978432,57953169,27.57,-0.94
E00009,2025,41500008,3262155,7577531,52339694,14.48,-9.44
E00009,2026,7483334,400000,0,7883334,0.0,71.8
E00010,2020,8214562,386670,0,8601232,0.0,0.0
E00011,2024,12275001,600000,3522171,16397172,21.48,0.0
E00011,2025,11447581,400000,1000000,12847581,7.78,-5.4
E00012,2020,54500004,7222252,13040633,74762889,17.44,0.0
E00012,2021,60500016,4399386,23597040,88496442,26.66,18.69
E00012,2022,66000000,5738419,20496038,92234457,22.22,4.22
E00012,2023,71800008,7297950,26957314,106055272,25.42,14.98
E00012,2024,74300004,6687134,28924158,109911296,26.32,3.35
E00012,2025,78100008,6477400,21525000,106102408,20.29,-3.2
E00012,2026,14466668,400000,0,14866668,0.0,59.82
E00013,2020,53900010,1200000,8551937,63651947,13.44,0.0
E00013,2021,56400012,1200000,16540690,74140702,22.31,16.8
E00013,2022,59500008,1959798,15337420,76797226,19.97,3.58
E00013,2023,61100004,3550548,31766084,96416636,32.95,25.55
E00013,2024,68300004,3693572,30693116,102686692,29.89,6.21
E00013,2025,69900000,3729451,16781876,90411327,18.56,-11.71
E00013,2026,12633334,400000,0,13033334,0.0,64.43
E00014,2020,37300014,1200000,7169023,45669037,15.7,0.0
E00014,2021,40700016,1200000,12318394,54218410,22.72,19.05
E00014,2022,43600008,6638468,11187174,61425650,18.21,13.29
E00014,2023,13620003,2049599,0,15669602,0.0,-13.79
E00015,2020,51300000,6352633,7845947,65498580,11.98,0.0
E00015,2021,56900016,5460844,19970968,82331828,24.26,26.04
E00015,2022,65400000,4990950,19647750,90038700,21.82,9.36
E00015,2023,65700000,4684818,21611220,91996038,23.49,2.17
E00015,2024,39982801,1400000,0,41382801,0.0,-25.37
E00017,2024,34191674,2876725,10690360,47758759,22.38,0.0
E00017,2025,39500004,2831553,6409784,48741341,13.15,-1.3
E00017,2026,6916668,402069,0,7318737,0.0,71.27
E00019,2024,40600000,2136050,12682696,55418746,22.89,0.0
E00019,2025,61300008,3686265,10868430,75854703,14.33,1.25
