EMP_ID,EVAL_TIME,EVAL_YEAR,MODIFIED_SCORE,YEAR_AVERAGE_SCORE
E00001,2021-상반기,2021년,62.7,51.35
E00001,2021-하반기,2021년,40.0,51.35
E00002,2021-상반기,2021년,99.64,89.32
E00002,2021-하반기,2021년,79.0,89.32
E00002,2022-상반기,2022년,57.28,51.64
E00002,2022-하반기,2022년,46.0,51.64
E00002,2023-상반기,2023년,75.8,84.36
E00002,2023-하반기,2023년,92.92,84.36
E00002,2024-상반기,2024년,76.0,69.91
E00002,2024-하반기,2024년,63.82,69.91
E00002,2025-상반기,2025년,51.2,51.2
E00003,2023-하반기,2023년,72.04,72.04
E00003,2024-상반기,2024년,77.46,85.16
E00003,2024-하반기,2024년,92.86,85.16
E00003,2025-상반기,2025년,93.64,93.64
E00005,2021-상반기,2021년,52.1,52.1
E00007,2021-상반기,2021년,64.48,59.74
E00007,2021-하반기,2021년,55.0,59.74
E00007,2022-상반기,2022년,59.92,59.92
E00008,2021-상반기,2021년,35.0,45.0
E00008,2021-하반기,2021년,55.0,45.0
E00008,2022-상반기,2022년,42.68,50.34
E00008,2022-하반기,2022년,58.0,50.34
E00008,2023-상반기,2023년,67.66,77.36
E00008,2023-하반기,2023년,87.06,77.36
E00008,2024-상반기,2024년,100.0,64.81
E00008,2024-하반기,2024년,29.62,64.81
E00008,2025-상반기,2025년,29.38,29.38
E00009,2023-상반기,2023년,58.34,79.17
E00009,2023-하반기,2023년,100.0,79.17
E00009,2024-상반기,2024년,90.15,82.68
E00009,2024-하반기,2024년,75.22,82.68
E00009,2025-상반기,2025년,61.15,61.15
E00011,2024-하반기,2024년,91.4,91.4
E00011,2025-상반기,2025년,87.95,87.95
E00012,2021-상반기,2021년,97.22,83.61
E00012,2021-하반기,2021년,70.0,83.61
E00012,2022-상반기,2022년,60.32,68.91
E00012,2022-하반기,2022년,77.5,68.91
E00012,2023-상반기,2023년,56.95,63.1
E00012,2023-하반기,2023년,69.25,63.1
E00012,2024-상반기,2024년,73.02,83.97
E00012,2024-하반기,2024년,94.92,83.97
E00012,2025-상반기,2025년,100.0,100.0
E00013,2021-상반기,2021년,55.26,62.63
E00013,2021-하반기,2021년,70.0,62.63
E00013,2022-상반기,2022년,60.61,57.8
E00013,2022-하반기,2022년,55.0,57.8
E00013,2023-상반기,2023년,96.1,91.35
E00013,2023-하반기,2023년,86.6,91.35
E00013,2024-상반기,2024년,92.28,96.09
E00013,2024-하반기,2024년,99.9,96.09
E00013,2025-상반기,2025년,86.04,86.04
E00014,2021-상반기,2021년,37.76,57.63
E00014,2021-하반기,2021년,77.5,57.63
E00014,2022-상반기,2022년,53.9,57.45
E00014,2022-하반기,2022년,61.0,57.45
E00014,2023-상반기,2023년,21.2,21.2
E00015,2021-상반기,2021년,52.12,70.06
E00015,2021-하반기,2021년,88.0,70.06
E00015,2022-상반기,2022년,82.75,65.88
E00015,2022-하반기,2022년,49.0,65.88
E00015,2023-상반기,2023년,46.48,49.32
E00015,2023-하반기,2023년,52.15,49.32
E00015,2024-상반기,2024년,47.48,49.84
E00015,2024-하반기,2024년,52.2,49.84
E00017,2024-상반기,2024년,51.68,56.19
E00017,2024-하반기,2024년,60.7,56.19
E00017,2025-상반기,2025년,49.44,49.44
E00019,2024-상반기,2024년,54.08,49.86
