EMP_ID,EVAL_TIME,EVAL_SYS_ID,ORIGINAL_SCORE
E00468,2021-상반기,ES001,62.1
E00933,2021-상반기,ES001,90.7
E00870,2021-상반기,ES001,94.6
E00692,2021-상반기,ES001,82.6
E00422,2021-상반기,ES001,60.6
E00568,2021-상반기,ES001,44.5
E00622,2021-상반기,ES001,43.4
E00824,2021-상반기,ES001,40.6
E00384,2021-상반기,ES001,29.3
E00262,2021-상반기,ES001,78.8
E00357,2021-상반기,ES001,89.1
E00253,2021-상반기,ES001,76.6
E00372,2021-상반기,ES001,78.6
E00614,2021-상반기,ES001,22.1
E00083,2021-상반기,ES001,45.6
E00985,2021-상반기,ES001,91.4
E00189,2021-상반기,ES001,89.7
E00537,2021-상반기,ES001,43.1
E00548,2021-상반기,ES001,41.7
E00997,2021-상반기,ES001,96.0
E00443,2021-상반기,ES001,43.7
E00426,2021-상반기,ES001,43.8
E00562,2021-상반기,ES001,56.9
E00117,2021-상반기,ES001,64.6
E00639,2021-상반기,ES001,62.3
E00192,2021-상반기,ES001,63.7
E00128,2021-상반기,ES001,50.2
E00653,2021-상반기,ES001,86.3
E00339,2021-상반기,ES001,50.5
E00892,2021-상반기,ES001,70.4
E00775,2021-상반기,ES001,34.2
E00632,2021-상반기,ES001,54.7
E00535,2021-상반기,ES001,60.1
E00509,2021-상반기,ES001,55.6
E00263,2021-상반기,ES001,71.7
E00168,2021-상반기,ES001,40.7
E00832,2021-상반기,ES001,88.3
E00474,2021-상반기,ES001,42.2
E00132,2021-상반기,ES001,65.2
E00500,2021-상반기,ES001,92.6
E00784,2021-상반기,ES001,70.2
E00166,2021-상반기,ES001,26.9
E00963,2021-상반기,ES001,40.7
E00157,2021-상반기,ES001,73.5
E00020,2021-상반기,ES001,45.0
E00026,2021-상반기,ES001,43.9
E00759,2021-상반기,ES001,28.4
E00331,2021-상반기,ES001,88.1
E00579,2021-상반기,ES001,92.7
E00233,2021-상반기,ES001,94.7
E00816,2021-상반기,ES001,73.6
E00903,2021-상반기,ES001,48.2
E00234,2021-상반기,ES001,30.2
E00293,2021-상반기,ES001,70.9
E00561,2021-상반기,ES001,58.3
E00799,2021-상반기,ES001,53.6
E00954,2021-상반기,ES001,36.6
E00065,2021-상반기,ES001,88.3
E00254,2021-상반기,ES001,58.3
E00718,2021-상반기,ES001,23.6
E00913,2021-상반기,ES001,54.7
E00646,2021-상반기,ES001,92.0
E00240,2021-상반기,ES001,53.2
E00486,2021-상반기,ES001,97.1
E00717,2021-상반기,ES001,77.8
E00375,2021-상반기,ES001,48.0
E00898,2021-상반기,ES001,57.9
E00298,2021-상반기,ES001,40.2
E00508,2021-상반기,ES001,68.8
E00541,2021-상반기,ES001,39.7
E00180,2021-상반기,ES001,95.5
E00499,2021-상반기,ES001,83.4
E00333,2021-상반기,ES001,60.1
