EMP_ID,DATE,LEAVE_TYPE_ID,LEAVE_LENGTH
E00076,2020-01-01,LT001,1.0
E00795,2020-01-01,LT003,0.5
E00622,2020-01-01,LT001,1.0
E00207,2020-01-01,LT002,1.0
E00611,2020-01-01,LT003,1.0
E00572,2020-01-01,LT001,1.0
E00571,2020-01-01,LT001,1.0
E00568,2020-01-01,LT001,1.0
E00557,2020-01-01,LT001,0.5
E00242,2020-01-01,LT001,1.0
E00791,2020-01-01,LT001,1.0
E00243,2020-01-01,LT003,1.0
E00293,2020-01-01,LT001,0.5
E00050,2020-01-01,LT001,1.0
E00073,2020-01-01,LT004,0.5
E00531,2020-01-01,LT001,1.0
E00254,2020-01-01,LT002,1.0
E00286,2020-01-01,LT001,1.0
E00285,2020-01-01,LT001,1.0
E00872,2020-01-01,LT003,1.0
E00264,2020-01-01,LT001,1.0
E00541,2020-01-01,LT003,1.0
E00010,2020-01-01,LT001,1.0
E00278,2020-01-01,LT001,1.0
E00707,2020-01-01,LT004,1.0
E00744,2020-01-01,LT002,1.0
E00761,2020-01-01,LT001,1.0
E00780,2020-01-01,LT001,1.0
E00976,2020-01-01,LT001,1.0
E00743,2020-01-01,LT001,1.0
E00782,2020-01-01,LT001,1.0
E00733,2020-01-01,LT004,1.0
E00638,2020-01-01,LT001,1.0
E00730,2020-01-01,LT001,1.0
E00758,2020-01-01,LT003,1.0
E00068,2020-01-02,LT001,1.0
E00733,2020-01-02,LT001,1.0
E00148,2020-01-02,LT001,1.0
E00483,2020-01-02,LT001,1.0
E00251,2020-01-02,LT001,1.0
E00721,2020-01-02,LT001,1.0
E00153,2020-01-02,LT001,1.0
E00274,2020-01-02,LT001,1.0
E00746,2020-01-02,LT001,0.5
E00193,2020-01-02,LT001,0.5
E00240,2020-01-02,LT001,0.5
E00557,2020-01-02,LT001,1.0
E00561,2020-01-02,LT001,1.0
E00698,2020-01-02,LT001,1.0
E00826,2020-01-02,LT003,1.0
E00576,2020-01-02,LT001,1.0
E00813,2020-01-02,LT001,1.0
E00800,2020-01-02,LT003,1.0
E00468,2020-01-02,LT001,1.0
E00648,2020-01-02,LT003,0.5
E00646,2020-01-02,LT001,1.0
E00786,2020-01-02,LT001,1.0
E00632,2020-01-02,LT003,1.0
E00797,2020-01-02,LT001,1.0
E00992,2020-01-02,LT001,1.0
E00301,2020-01-02,LT001,1.0
E00450,2020-01-02,LT001,1.0
E00406,2020-01-02,LT004,0.5
E00288,2020-01-02,LT002,1.0
E00041,2020-01-02,LT001,0.5
E00319,2020-01-02,LT001,0.5
E00431,2020-01-02,LT001,1.0
E00286,2020-01-02,LT001,0.5
E00965,2020-01-02,LT001,1.0
E00362,2020-01-02,LT001,1.0
E00012,2020-01-02,LT001,1.0
E00341,2020-01-02,LT001,1.0
E00031,2020-01-02,LT004,1.0
E00420,2020-01-02,LT001,1.0
E00322,2020-01-02,LT001,1.0
E00345,2020-01-02,LT002,1.0
E00278,2020-01-02,LT001,0.5
E00895,2020-01-02,LT001,1.0
E00960,2020-01-03,LT003,1.0
E00320,2020-01-03,LT001,1.0
E00557,2020-01-03,LT001,1.0
E00303,2020-01-03,LT001,1.0
E00877,2020-01-03,LT002,0.5
E00564,2020-01-03,LT001,1.0
E00040,2020-01-03,LT001,0.5
E00208,2020-01-03,LT001,1.0
E00796,2020-01-03,LT001,1.0
E00611,2020-01-03,LT003,1.0
E00576,2020-01-03,LT001,0.5
E00420,2020-01-03,LT001,1.0
E00422,2020-01-03,LT001,1.0
E00829,2020-01-03,LT001,1.0
E00434,2020-01-03,LT001,1.0
E00322,2020-01-03,LT001,1.0
E00239,2020-01-03,LT003,1.0
E00278,2020-01-03,LT001,1.0
E00010,2020-01-03,LT001,1.0
E00500,2020-01-03,LT001,0.5
E00878,2020-01-03,LT001,1.0
E00505,2020-01-03,LT003,1.0
E00880,2020-01-03,LT001,1.0
E00521,2020-01-03,LT001,1.0
E00189,2020-01-03,LT001,1.0
E00698,2020-01-03,LT001,1.0
E00530,2020-01-03,LT001,1.0
E00860,2020-01-03,LT003,1.0
E00324,2020-01-03,LT004,1.0
E00183,2020-01-03,LT001,1.0
E00903,2020-01-03,LT001,1.0
E00839,2020-01-03,LT001,1.0
E00801,2020-01-03,LT001,0.5
E00907,2020-01-03,LT004,1.0
E00531,2020-01-03,LT001,1.0
E00218,2020-01-03,LT001,1.0
E00680,2020-01-04,LT001,1.0
E00375,2020-01-04,LT001,1.0
E00014,2020-01-04,LT001,1.0
E00111,2020-01-04,LT001,1.0
E00140,2020-01-04,LT001,1.0
E00569,2020-01-04,LT003,1.0
E00111,2020-01-05,LT001,1.0
E00382,2020-01-05,LT001,1.0
E00360,2020-01-05,LT001,1.0
E00880,2020-01-05,LT001,1.0
E00020,2020-01-05,LT001,1.0
E00950,2020-01-05,LT001,1.0
E00638,2020-01-05,LT003,1.0
E00759,2020-01-06,LT001,1.0
E00528,2020-01-06,LT002,1.0
E00254,2020-01-06,LT001,1.0
E00755,2020-01-06,LT001,1.0
E00866,2020-01-06,LT001,1.0
E00170,2020-01-06,LT001,1.0
E00521,2020-01-06,LT001,1.0
E00285,2020-01-06,LT001,1.0
E00137,2020-01-06,LT001,1.0
E00722,2020-01-06,LT003,1.0
E00341,2020-01-06,LT001,1.0
E00726,2020-01-06,LT001,1.0
E00483,2020-01-06,LT001,1.0
E00278,2020-01-06,LT001,1.0
E00977,2020-01-06,LT003,1.0
E00772,2020-01-06,LT001,0.5
E00736,2020-01-06,LT003,1.0
E00800,2020-01-06,LT003,1.0
E00103,2020-01-06,LT001,1.0
E00304,2020-01-06,LT001,1.0
E00915,2020-01-06,LT001,1.0
E00616,2020-01-06,LT001,1.0
E00681,2020-01-06,LT001,1.0
E00319,2020-01-06,LT001,1.0
E00557,2020-01-06,LT001,1.0
E00834,2020-01-06,LT001,0.5
E00962,2020-01-06,LT001,0.5
E00555,2020-01-06,LT003,1.0
E00554,2020-01-06,LT004,0.5
E00249,2020-01-06,LT001,0.5
E00320,2020-01-06,LT004,1.0
E00836,2020-01-07,LT002,0.5
E00954,2020-01-07,LT001,1.0
E00795,2020-01-07,LT003,0.5
E00903,2020-01-07,LT001,1.0
E00813,2020-01-07,LT004,0.5
E00850,2020-01-07,LT001,1.0
E00102,2020-01-07,LT001,1.0
E00010,2020-01-07,LT001,1.0
E00070,2020-01-07,LT004,1.0
E00352,2020-01-07,LT001,1.0
E00629,2020-01-07,LT001,0.5
E00605,2020-01-07,LT001,0.5
E00736,2020-01-07,LT001,1.0
E00439,2020-01-07,LT003,1.0
E00597,2020-01-07,LT001,1.0
E00584,2020-01-07,LT001,1.0
E00223,2020-01-07,LT001,1.0
E00579,2020-01-07,LT004,1.0
E00453,2020-01-07,LT001,1.0
E00278,2020-01-07,LT001,1.0
E00562,2020-01-07,LT001,1.0
E00557,2020-01-07,LT001,0.5
E00468,2020-01-07,LT003,1.0
E00242,2020-01-07,LT001,1.0
E00522,2020-01-07,LT004,1.0
E00531,2020-01-07,LT001,1.0
